[2026-02-11 21:02:04] info: 	z2m: Logging to console, file (filename: log.log)
[2026-02-11 21:02:04] info: 	z2m: Starting Zigbee2MQTT version 2.8.0 (commit #unknown)
[2026-02-11 21:02:04] info: 	z2m: Starting zigbee-herdsman (9.0.2)
[2026-02-11 21:02:04] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2026-02-11 21:02:08] info: 	z2m: zigbee-herdsman started (resumed)
[2026-02-11 21:02:08] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2026-02-11 21:02:08] info: 	z2m: Detecteur Presence (0x00124b002a6cec3b): SNZB-03 - SONOFF Motion sensor (EndDevice)
[2026-02-11 21:02:08] info: 	z2m: Currently 1 devices are joined.
[2026-02-11 21:02:08] info: 	z2m: Connecting to MQTT server at mqtt://192.168.0.218:1883
[2026-02-11 21:02:08] info: 	z2m: Connected to MQTT server
[2026-02-11 21:02:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqttHA/bridge/state', payload '{"state":"online"}'
[2026-02-11 21:02:09] info: 	z2m: Started frontend on port 8099
[2026-02-11 21:02:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqttHA/Detecteur Presence', payload '{"battery":99.5,"battery_low":false,"linkquality":164,"occupancy":true,"tamper":false,"voltage":2900}'
[2026-02-11 21:02:09] info: 	z2m: Zigbee2MQTT started!
[2026-02-11 21:02:14] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/12210510398101101501091131161167265_0x84b4dbfffec7a53f/connection_state/config', payload '{"default_entity_id":"binary_sensor.zigbee2mqtt_bridge_connection_state","device":{"hw_version":"EZSP v8 6.10.3.0 build 297","identifiers":["zigbee2mqtt_bridge_0x84b4dbfffec7a53f"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"2.8.0"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"2.8.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqttHA/bridge/state","unique_id":"bridge_0x84b4dbfffec7a53f_connection_state_zigbee2mqttHA","value_template":"{{ value_json.state }}"}'
[2026-02-11 21:05:11] error: 	zh:ezsp:uart: --> Error: Error: {"sequence":4} after 4000ms
[2026-02-11 21:05:11] error: 	zh:ezsp:uart: -!- break waiting (4)
[2026-02-11 21:05:11] error: 	zh:ezsp:uart: Can't send DATA frame (3,4,0): 3b00010500
[2026-02-11 21:05:16] error: 	zh:ezsp:uart: --> Error: Error: {"sequence":4} after 4000ms
[2026-02-11 21:05:16] error: 	zh:ezsp:uart: -!- break rewaiting (4)
[2026-02-11 21:05:16] error: 	zh:ezsp:uart: Can't resend DATA frame (3,4,1): 3b00010500
[2026-02-11 21:05:16] error: 	zh:ezsp:ezsp: Watchdog heartbeat timeout Error: Failure send nop:{"type":"Buffer","data":[59,0,1,5,0]}
[2026-02-11 21:05:37] error: 	zh:ezsp:uart: --> Error: Error: {"sequence":-1} after 10000ms
[2026-02-11 21:05:37] error: 	zh:ezsp:ezsp: Connection attempt 1 error: Error: Failure to connect
[2026-02-11 21:06:13] error: 	z2m: Adapter disconnected, stopping
[2026-02-11 21:07:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqttHA/bridge/state', payload '{"state":"offline"}'
[2026-02-11 21:07:03] info: 	z2m: Disconnecting from MQTT server
[2026-02-11 21:07:03] info: 	z2m: Stopping zigbee-herdsman...
[2026-02-11 21:07:03] info: 	z2m: Stopped zigbee-herdsman
[2026-02-11 21:07:03] info: 	z2m: Stopped Zigbee2MQTT
